Exercise,Short YouTube Demonstration,In-Depth YouTube Explanation,Difficulty Level,Target Muscle Group ,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment ,# Primary Items,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,Continuous or Alternating Arms ,Grip,Load Position (Ending),Foot Elevation,Combination Exercises,Movement Pattern #1,Movement Pattern #2,Movement Pattern #3,Plane Of Motion #1,Plane Of Motion #2,Plane Of Motion #3,Body Region,Force Type,Mechanics,Laterality,Primary Exercise Classification
Slider Double Dumbbell Front Rack Reverse Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,1,Dumbbell,2,Standing,Double Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Slider Double Dumbbell Suitcase Reverse Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,1,Dumbbell,2,Standing,Double Arm,Continuous,Neutral,Suitcase,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Slider Double Dumbbell Overhead Reverse Lunge,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,1,Dumbbell,2,Standing,Double Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Floor Press,Video Demonstration,Video Explanation,Beginner,Chest,Pectoralis Major,Triceps Brachii,,Kettlebell,1,None,0,Supine,Single Arm,Continuous,Pronated,Above Chest,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
Alternating Double Kettlebell Floor Press,Video Demonstration,,Beginner,Chest,Pectoralis Major,Triceps Brachii,,Kettlebell,2,None,0,Supine,Double Arm,Alternating,Pronated,Above Chest,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
Slider Single Arm Clubbell Order Contralateral Reverse Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,1,Clubbell,1,Standing,Single Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
Slider Single Arm Clubbell Order Ipsilateral Reverse Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,1,Clubbell,1,Standing,Single Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Slider Double Clubbell Order Reverse Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,1,Clubbell,2,Standing,Double Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Slider Clubbell Order Reverse Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,1,Clubbell,1,Standing,Double Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Slider Macebell Order Reverse Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,1,Macebell,1,Standing,Double Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Slider Single Arm Macebell Order Contralateral Reverse Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,1,Macebell,1,Standing,Single Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
Slider Single Arm Macebell Order Ipsilateral Reverse Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,1,Macebell,1,Standing,Single Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Slider Landmine Goblet Reverse Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,1,Landmine,1,Standing,Double Arm,Continuous,Goblet,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Slider Landmine Shoulder Contralateral Reverse Lunge,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,1,Landmine,1,Standing,Single Arm,Continuous,Neutral,Shoulder,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
Slider Single Arm Landmine Front Rack Contralateral Reverse Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,1,Landmine,1,Standing,Single Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
Slider Single Arm Landmine Front Rack Ipsilateral Reverse Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,1,Landmine,1,Standing,Single Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Slider Single Arm Landmine Suitcase Contralateral Reverse Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,1,Landmine,1,Standing,Single Arm,Continuous,Neutral,Suitcase,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
Slider Single Arm Landmine Suitcase Ipsilateral Reverse Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,1,Landmine,1,Standing,Single Arm,Continuous,Neutral,Suitcase,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Slider Single Arm Landmine Overhead Contralateral Reverse Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,1,Landmine,1,Standing,Single Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
Slider Single Arm Landmine Overhead Ipsilateral Reverse Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,1,Landmine,1,Standing,Single Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Suspension Jump Squat,Video Demonstration,Video Explanation,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Suspension Trainer,1,None,0,Standing,Double Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Plyometric
Dumbbell Crush Grip Seated Overhead Tricep Extension,Video Demonstration,,Beginner,Triceps,Triceps Brachii ,,,Dumbbell,1,Bench (Flat),1,Seated,Double Arm,Continuous,Crush Grip,Overhead,No Elevation,Single Exercise,Elbow Extension,,,Sagittal Plane,,,Upper Body,Push,Isolation,Bilateral,Bodybuilding
Single Ring Rotational Row,Video Demonstration,Video Explanation,Intermediate,Back,Latissimus Dorsi,Biceps Brachii,,Gymnastic Rings,1,None,0,Standing,Double Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Rotational,Horizontal Pull,,Transverse Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics
Miniband Glute Bridge,Video Demonstration,,Beginner,Glutes,Gluteus Maximus,Gluteus Medius,Gluteus Minimus,Miniband,1,None,0,Bridge,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Bilateral,Bodybuilding
Double Plate Seated Lu Raise,,,Novice,Shoulders,Infraspinatus,Posterior Deltoids,,Weight Plate,2,Bench (Flat),1,Seated,Double Arm,Continuous,Other,Overhead,No Elevation,Single Exercise,Shoulder Abduction,,,Frontal Plane,,,Upper Body,Unsorted*,Compound,Bilateral,Mobility
Double Kettlebell Bottoms Up Floor Press,Video Demonstration,,Novice,Chest,Pectoralis Major,Triceps Brachii,,Kettlebell,2,None,0,Supine,Double Arm,Continuous,Bottoms Up,Above Chest,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
Alternating Double Kettlebell Bottoms Up Floor Press,,,Novice,Chest,Pectoralis Major,Triceps Brachii,,Kettlebell,2,None,0,Supine,Double Arm,Alternating,Bottoms Up,Above Chest,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Floor Press,Video Demonstration,Video Explanation,Novice,Chest,Pectoralis Major,Triceps Brachii,,Kettlebell,1,None,0,Supine,Single Arm,Continuous,Bottoms Up,Above Chest,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
Trap Bar Deadlift,Video Demonstration,Video Explanation,Novice,Back,Latissimus Dorsi,,,Trap Bar,1,None,0,Standing,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Pull,Compound,Bilateral,Bodybuilding
Trap Bar Staggered Stance Deadlift,Video Demonstration,Video Explanation,Novice,Back,Latissimus Dorsi,,,Trap Bar,1,None,0,Staggered Stance,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Pull,Compound,Unilateral,Bodybuilding
Alternating Double Kettlebell Bent Over Row,Video Demonstration,,Beginner,Back,Latissimus Dorsi,Rhomboids,Posterior Deltoids,Kettlebell,2,None,0,Standing,Double Arm,Alternating,Neutral,Other,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Unilateral,Bodybuilding
Landmine Goblet Alternating Curtsy Lunge,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Landmine,1,None,0,Standing,Double Arm,Continuous,Goblet,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Landmine Goblet Curtsy Lunge,,Video Explanation,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Landmine,1,None,0,Standing,Double Arm,Continuous,Goblet,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Barbell Overhead Alternating Curtsy Lunge,Video Demonstration,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Barbell Back Rack Alternating Curtsy Lunge,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Back Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Barbell Zercher Alternating Curtsy Lunge,Video Demonstration,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1,None,0,Standing,Double Arm,Continuous,No Grip,Zercher,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Trap Bar Suitcase Carry,Video Demonstration,Video Explanation,Intermediate,Forearms,Brachioradialis,Rectus Abdominis,,Trap Bar,1,None,0,Walking,Double Arm,Continuous,Neutral,Suitcase,No Elevation,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Bilateral,Unsorted*
Trap Bar Romanian Deadlift,Video Demonstration,Video Explanation,Novice,Hamstrings,Biceps Femoris,Gluteus Maximus,,Trap Bar,1,None,0,Standing,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Lower Body,Pull,Compound,Bilateral,Bodybuilding
Trap Bar Bent Over Row,Video Demonstration,Video Explanation,Novice,Back,Latissimus Dorsi,Rhomboids,Posterior Deltoids,Trap Bar,1,None,0,Standing,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Bodybuilding
Trap Bar Pendlay Row,Video Demonstration,Video Explanation,Novice,Back,Latissimus Dorsi,,,Trap Bar,1,None,0,Standing,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Bodybuilding
Trap Bar Shrug,Video Demonstration,,Novice,Trapezius,Upper Trapezius,,,Trap Bar,1,None,0,Standing,Double Arm,Continuous,Neutral,Suitcase,No Elevation,Single Exercise,Scapular Elevation,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
Trap Bar Deficit Deadlift,Video Demonstration,Video Explanation,Intermediate,Back,Latissimus Dorsi,,,Trap Bar,1,None,0,Standing,Double Arm,Continuous,Neutral,Suitcase,Feet Elevated,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Pull,Compound,Bilateral,Bodybuilding
Trap Bar Bulgarian Split Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Trap Bar,1,Bench (Flat),1,Single Leg Supported,Double Arm,Continuous,Neutral,Suitcase,Foot Elevated (Rear),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Trap Bar Jump Squat,Video Demonstration,Video Explanation,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Trap Bar,1,None,0,Standing,Double Arm,Continuous,Neutral,Suitcase,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Plyometric
Battle Rope Power Slam,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,,,Battle Ropes,1,None,0,Standing,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,,,,Sagittal Plane,,,Upper Body,Other,Compound,Bilateral,Unsorted*
Battle Rope Power Slam to Burpee,Video Demonstration,,Intermediate,Chest,Pectoralis Major,Rectus Abdominis,,Battle Ropes,1,None,0,Standing,Double Arm,Continuous,Neutral,Other,No Elevation,Combo Exercise,Horizontal Push,,,Sagittal Plane,,,Full Body,Other,Compound,Bilateral,Plyometric
Battle Rope Double Wave,Video Demonstration,Video Explanation,Beginner,Biceps,Biceps Brachii,,,Battle Ropes,1,None,0,Standing,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,,,,Sagittal Plane,,,Upper Body,Other,Compound,Bilateral,Unsorted*
Battle Rope Alternating Reverse Lunge Alternating Wave ,Video Demonstration,Video Explanation,Intermediate,Quadriceps,Quadriceps Femoris,Biceps Brachii,Gluteus Maximus,Battle Ropes,1,None,0,Standing,Double Arm,Alternating,Neutral,Other,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Full Body,Other,Compound,Unilateral,Unsorted*
Bodyweight Split Squat Isometric Hold,Video Demonstration,Video Explanation,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight,1,None,0,Split Squat Isometric,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Isometric Hold,Knee Dominant,,Sagittal Plane,,,Lower Body,Other,Compound,Unilateral,Balance
Bodyweight Split Squat,Video Demonstration,Video Explanation,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight,1,None,0,Split Squat,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Unsorted*
Barbell Frog Pump,Video Demonstration,,Novice,Glutes,Gluteus Maximus,,,Barbell,1,None,0,Bridge,Double Arm,Continuous,Pronated,Hip Crease,No Elevation,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Bilateral,Bodybuilding
Barbell Front Rack Calf Raise,Video Demonstration,,Novice,Calves,Gastrocnemius,Soleus,,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Front Rack,No Elevation,Single Exercise,Ankle Plantar Flexion,,,Sagittal Plane,,,Lower Body,Push,Isolation,Bilateral,Bodybuilding
Barbell Back Rack Calf Raise,Video Demonstration,,Novice,Calves,Gastrocnemius,Soleus,,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Back Rack,No Elevation,Single Exercise,Ankle Plantar Flexion,,,Sagittal Plane,,,Lower Body,Push,Isolation,Bilateral,Bodybuilding
Trap Bar Calf Raise,Video Demonstration,,Novice,Calves,Gastrocnemius,Soleus,,Trap Bar,1,None,0,Standing,Double Arm,Continuous,Neutral,Suitcase,No Elevation,Single Exercise,Ankle Plantar Flexion,,,Sagittal Plane,,,Lower Body,Push,Isolation,Bilateral,Bodybuilding
Barbell Zercher Cyclist Squat,Video Demonstration,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1,Slant Board,1,Standing,Double Arm,Continuous,No Grip,Zercher,Heels Elevated,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Bodybuilding
Trap Bar Rack Pull,Video Demonstration,,Novice,Back,Latissimus Dorsi,,,Trap Bar,1,None,0,Standing,Double Arm,Continuous,Neutral,Suitcase,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Pull,Compound,Bilateral,Bodybuilding
Trap Bar Floor Press,Video Demonstration,,Novice,Chest,Pectoralis Major,Triceps Brachii,Anterior Deltoids,Trap Bar,1,None,0,Supine,Double Arm,Continuous,Neutral,Above Chest,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
Trap Bar Overhead Press,Video Demonstration,,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Trap Bar,1,None,0,Standing,Double Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
Trap Bar Bottoms Up Tall Kneeling Overhead Press,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Trap Bar,1,None,0,Tall Kneeling,Double Arm,Continuous,Bottoms Up,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
Trap Bar Z Press,Video Demonstration,Video Explanation,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Trap Bar,1,None,0,Seated Floor,Double Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
Trap Bar Bottoms Up Z Press,Video Demonstration,,Advanced,Shoulders,Anterior Deltoids,Triceps Brachii,,Trap Bar,1,None,0,Seated Floor,Double Arm,Continuous,Bottoms Up,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
Trap Bar Tall Kneeling Overhead Press,Video Demonstration,,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Trap Bar,1,None,0,Tall Kneeling,Double Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
Trap Bar Bottoms Up Floor Press,,,Intermediate,Chest,Pectoralis Major,Triceps Brachii,Anterior Deltoids,Trap Bar,1,None,0,Supine,Double Arm,Continuous,Bottoms Up,Above Chest,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
Trap Bar Bench Press,Video Demonstration,,Novice,Chest,Pectoralis Major,Triceps Brachii,Anterior Deltoids,Trap Bar,1,Bench (Flat),1,Supine,Double Arm,Continuous,Neutral,Above Chest,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
Trap Bar Bottoms Up Bench Press,Video Demonstration,Video Explanation,Intermediate,Chest,Pectoralis Major,Triceps Brachii,Anterior Deltoids,Trap Bar,1,Bench (Flat),1,Supine,Double Arm,Continuous,Bottoms Up,Above Chest,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
Battle Rope Jumping Jack,Video Demonstration,Video Explanation,Novice,Shoulders,Medial Deltoids,,,Battle Ropes,1,None,0,Standing,Double Arm,Continuous,Neutral,Lateral,No Elevation,Single Exercise,Shoulder Abduction,,,Sagittal Plane,,,Full Body,Other,Compound,Bilateral,Plyometric
Battle Rope Jump Squat Power Slam,Video Demonstration,Video Explanation,Intermediate,Quadriceps,Quadriceps Femoris,Rectus Abdominis,,Battle Ropes,1,None,0,Standing,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Full Body,Other,Compound,Bilateral,Plyometric
Battle Rope Alternating Side Slam,Video Demonstration,,Novice,Abdominals,Obliques,,,Battle Ropes,1,None,0,Standing,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
Battle Rope Jump Squat Alternating Wave,Video Demonstration,Video Explanation,Intermediate,Quadriceps,Quadriceps Femoris,Rectus Abdominis,,Battle Ropes,1,None,0,Standing,Double Arm,Alternating,Neutral,Other,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Full Body,Other,Compound,Bilateral,Plyometric
Battle Rope In and Out Jump Squat Power Slam,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Rectus Abdominis,,Battle Ropes,1,None,0,Standing,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,Sagittal Plane,,Full Body,Other,Compound,Bilateral,Plyometric
Battle Rope In and Out Jump Squat Alternating Wave,,,Intermediate,Quadriceps,Quadriceps Femoris,Rectus Abdominis,,Battle Ropes,1,None,0,Standing,Double Arm,Alternating,Neutral,Other,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,Sagittal Plane,,Full Body,Other,Compound,Bilateral,Plyometric
Bodyweight In and Out Jump Squat,Video Demonstration,Video Explanation,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight,1,None,0,Standing,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,Sagittal Plane,,Lower Body,Push,Compound,Bilateral,Plyometric
Miniband Thigh In and Out Jump Squat,Video Demonstration,,Novice,Abductors,Gluteus Medius,Gluteus Minimus,Quadriceps Femoris,Miniband,1,None,0,Standing,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Hip Abduction,Knee Dominant,,Frontal Plane,Sagittal Plane,,Lower Body,Push,Compound,Bilateral,Plyometric
Miniband Ankle In and Out Jump Squat,Video Demonstration,Video Explanation,Intermediate,Abductors,Gluteus Medius,Gluteus Minimus,Quadriceps Femoris,Miniband,1,None,0,Standing,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Hip Abduction,Knee Dominant,,Frontal Plane,Sagittal Plane,,Lower Body,Push,Compound,Bilateral,Plyometric
Battle Rope Single Leg Standing Double Wave,Video Demonstration,,Intermediate,Biceps,Biceps Brachii,,,Battle Ropes,1,None,0,Single Leg Standing,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,,,,Sagittal Plane,,,Upper Body,Other,Compound,Unilateral,Balance
Battle Rope Single Leg Standing Power Slam,,Video Explanation,Intermediate,Abdominals,Rectus Abdominis,,,Battle Ropes,1,None,0,Single Leg Standing,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,,,,Sagittal Plane,,,Upper Body,Other,Compound,Unilateral,Balance
Battle Rope Split Squat Isometric Power Slam,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,Quadriceps Femoris,,Battle Ropes,1,None,0,Split Squat Isometric,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,,,,Sagittal Plane,,,Full Body,Other,Compound,Unilateral,Balance
Battle Rope Alternating Split Squat Jump Alternating Wave,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Biceps Brachii,,Battle Ropes,1,None,0,Split Squat,Double Arm,Alternating,Neutral,Other,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Full Body,Other,Compound,Unilateral,Plyometric
Battle Rope Alternating Split Squat Jump Power Slam,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Rectus Abdominis,,Battle Ropes,1,None,0,Split Squat,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Full Body,Other,Compound,Unilateral,Plyometric
Single Arm Kettlebell Front Rack Contralateral Cossack Squat,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell,1,None,0,Standing,Single Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
Alternating Double Dumbbell Z Press,Video Demonstration,,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Dumbbell,2,None,0,Seated Floor,Double Arm,Alternating,Neutral,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Overhead Contralateral Cossack Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell,1,None,0,Standing,Single Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
Single Arm Dumbbell Half Kneeling Ipsilateral Overhead Press,,Video Explanation,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Rectus Abdominis ,Dumbbell,1,None,0,Half Kneeling,Single Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Ipsilateral,Bodybuilding
Double Dumbbell Half Kneeling Overhead Press,Video Demonstration,,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Rectus Abdominis ,Dumbbell,2,None,0,Half Kneeling,Double Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
